"Address Line 1",City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1720 POWDER SPRINGS RD",MARIETTA,GA,30064,33.906627,-84.603732,0.9,rooftop,1720,"Powder Springs Rd SW",,,Marietta,GA,"Cobb County",30064,US,Cobb
"5235 MEMORIAL DRIVE","STONE MOUNTAIN",GA,30083,33.797737,-84.222603,1,range_interpolation,5235,"Memorial Dr",,,"Stone Mountain",GA,"DeKalb County",30083,US,"TIGER/Line® dataset from the US Census Bureau"
"1840 SOUTHERN LANE",DECATUR,GA,30033,33.803848,-84.312965,1,rooftop,1840,"Southern Ln",,,Decatur,GA,"DeKalb County",30033,US,Dekalb
"1095 HENRY PARKWAY CONNECTOR",MCDONOUGH,GA,30252,33.423708,-84.157451,0.9,rooftop,1095,"Henry Parkway Connector",,,McDonough,GA,"Henry County",30253,US,Henry
"2821 WARM SPRINGS ROAD",COLUMBUS,GA,31904,32.504219,-84.950638,1,rooftop,2821,"Warm Springs Rd",,,Columbus,GA,"Muscogee County",31904,US,"Muscogee County"
"325 CEDAR ROAD",METTER,GA,30439,32.405762,-82.066142,0.6,range_interpolation,325,"State Rte 23",,,Metter,GA,"Candler County",30439,US,"TIGER/Line® dataset from the US Census Bureau"
"521 STANLEY K. TANGER BLVD.","LOCUST GROVE",GA,30248,33.3515,-84.121365,0.6,street_center,,"Stanley K Tanger Blvd",,,"Locust Grove",GA,"Henry County",30248,US,"TIGER/Line® dataset from the US Census Bureau"
"4880 LOWER ROSWELL RD",MARIETTA,GA,30068,33.966227,-84.41094,1,range_interpolation,4880,"Lower Roswell Rd",,,Marietta,GA,"Cobb County",30068,US,"TIGER/Line® dataset from the US Census Bureau"
"114 DUNN STREET",MCDONOUGH,GA,30253,33.448472,-84.144025,1,range_interpolation,114,"Dunn St",,,McDonough,GA,"Henry County",30253,US,"TIGER/Line® dataset from the US Census Bureau"
"1150 LAKE HEARN DRIVE",ATLANTA,GA,30342,33.913081,-84.3494,1,rooftop,1150,"Lake Hearn Dr",,,Atlanta,GA,"Fulton County",30342,US,"City of Sandy Springs"
"108 HOSPITAL DRIVE",CHATSWORTH,GA,30705,34.782522,-84.783748,1,range_interpolation,108,"Hospital Dr",,,Chatsworth,GA,"Murray County",30705,US,"TIGER/Line® dataset from the US Census Bureau"
"8060 SUMMIT BUSINESS PARKWAY",JONESBORO,GA,30236,33.535171,-84.305507,1,rooftop,8060,"Summit Business Pkwy",,,Jonesboro,GA,"Clayton County",30236,US,"Clayton County"
"3620 MARTIN LUTHER KING JR DRIVE SW",ATLANTA,GA,30331,33.760412,-84.506409,1,range_interpolation,3620,"Martin Luther King Jr Dr SW",,,Atlanta,GA,"Fulton County",30331,US,"TIGER/Line® dataset from the US Census Bureau"
"3753 MARIETTA HIGHWAY",CANTON,GA,30114,34.194739,-84.508753,1,rooftop,3753,"Marietta Hwy",,,Canton,GA,"Cherokee County",30114,US,Cherokee
"400 SOUTH WAYNE STREET",MILLEDGEVILLE,GA,31061,33.076218,-83.225712,1,range_interpolation,400,"S Wayne St",,,Milledgeville,GA,"Baldwin County",31061,US,"TIGER/Line® dataset from the US Census Bureau"
"120 PIEDMONT AVENUE STE 300",ATLANTA,GA,30303,33.75769,-84.382578,0.9,rooftop,120,"Piedmont Ave NE",Ste,300,Atlanta,GA,"Fulton County",30303,US,"City of Atlanta"
"500 EAGLES LANDING PKWY",STOCKBRIDGE,GA,30281,33.514409,-84.210719,0.9,rooftop,500-520,"Eagles Landing Pkwy",,,Stockbridge,GA,"Henry County",30281,US,Henry
"140 GLENN BASS ROAD",LAGRANGE,GA,30240,32.994967,-85.049873,1,range_interpolation,140,"Glenn Bass Rd",,,Lagrange,GA,"Troup County",30240,US,"TIGER/Line® dataset from the US Census Bureau"
"130 PROSPECTOR DR","VILLA RICA",GA,30180,33.747437,-84.932344,1,rooftop,130,"Prospector Dr",,,"Villa Rica",GA,"Carroll County",30180,US,Carroll
"621 MCNEIL CIRCLE",THOMSON,GA,30824,33.494908,-82.513847,0.33,place,,,,,Thomson,GA,"McDuffie County",30824,US,"TIGER/Line® dataset from the US Census Bureau"
"7117 S SWEETWATER ROAD","LITHIA SPRINGS",GA,30122,33.78145,-84.656106,1,rooftop,7117,"S Sweetwater Rd",,,"Lithia Springs",GA,"Douglas County",30122,US,Douglas
"1757 CANDLER ROAD SE",DECATUR,GA,30032,33.739474,-84.288987,1,rooftop,1757,"Candler Rd",,,Decatur,GA,"DeKalb County",30032,US,Dekalb
"708 SOUTH BROAD STREET",THOMASVILLE,GA,31792,30.829777,-83.974047,1,rooftop,708,"S Broad St",,,Thomasville,GA,"Thomas County",31792,US,Thomas
"1355 BRAMPTON AVE",STATESBORO,GA,30458,32.40572,-81.76996,0.6,street_center,,"Brampton Ave",,,Statesboro,GA,"Bulloch County",30458,US,"TIGER/Line® dataset from the US Census Bureau"
"350 PHILIP BLVD NW",LAWRENCEVILLE,GA,30045,33.968348,-84.007282,0.9,rooftop,350,"Philip Blvd",,,Lawrenceville,GA,"Gwinnett County",30046,US,Gwinnett
"9559 HIGHWAY 5 STE #1",DOUGLASVILLE,GA,30135,33.723541,-84.763829,1,rooftop,9559,"Hwy 5",Ste,5,Douglasville,GA,"Douglas County",30135,US,Douglas
"11706 MERCY BLVD",SAVANNAH,GA,31419,31.98517,-81.152481,1,rooftop,11706,"Mercy Blvd",,,Savannah,GA,"Chatham County",31419,US,"City of Savannah"
"657 HEMLOCK ST STE 100",MACON,GA,31201,32.832163,-83.633909,1,rooftop,657,"Hemlock St",Ste,100,Macon,GA,"Bibb County",31201,US,Bibb
"6225 ATLANTA HIGHWAY",ALPHARETTA,GA,30004,34.131262,-84.250948,1,rooftop,6225,"Atlanta Hwy",,,Alpharetta,GA,"Forsyth County",30004,US,Forsyth
"12541 HIGHWAY 27",SUMMERVILLE,GA,30747,34.50934,-85.323662,0.9,range_interpolation,12541,"Hwy 27",,,Summerville,GA,"Chattooga County",30747,US,"TIGER/Line® dataset from the US Census Bureau"
"1393 FUNDERBURG DRIVE",MONTICELLO,GA,31064,33.293932,-83.691863,1,range_interpolation,1393,"Funderburg Dr",,,Monticello,GA,"Jasper County",31064,US,"TIGER/Line® dataset from the US Census Bureau"
"1575 NORTHSIDE DRIVE NE",ATLANTA,GA,30318,33.798509,-84.407009,0.9,rooftop,1575,"Northside Dr NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
"735 N HISTORIC HWY 441",DEMOREST,GA,30535,34.584308,-83.53653,1,rooftop,735,"N 441 Historic Hwy",,,Demorest,GA,"Habersham County",30535,US,Habersham
"2714 OSBORNE RD","SAINT MARYS",GA,31558,30.753836,-81.578853,0.82,nearest_rooftop_match,2712,"Osborne Rd",,,"Saint Marys",GA,"Camden County",31558,US,Camden
"155 BRANDYWINE BOULEVARD",FAYETTEVILLE,GA,30214,33.452433,-84.484334,1,range_interpolation,155,"Brandywine Blvd",,,Fayetteville,GA,"Fayette County",30214,US,"TIGER/Line® dataset from the US Census Bureau"
"280 CLINTON ST",MACON,GA,31217,32.840839,-83.614691,1,rooftop,280,"Clinton St",,,Macon,GA,"Bibb County",31217,US,Bibb
"110 LONDONDERRY COURT",WOODSTOCK,GA,30188,34.08523,-84.505495,1,rooftop,110,"Londonderry Ct",,,Woodstock,GA,"Cherokee County",30188,US,Cherokee
"2290 OAK ROAD",SNELLVILLE,GA,30078,33.86061,-84.01903,1,range_interpolation,2290,"Oak Rd",,,Snellville,GA,"Gwinnett County",30078,US,"TIGER/Line® dataset from the US Census Bureau"
"1365 ROCK QUARRY ROAD, ST 100",STOCKBRIDGE,GA,30281,33.515071,-84.230518,1,rooftop,1365,"Rock Quarry Rd",,,Stockbridge,GA,"Henry County",30281,US,Henry
"1927 HIGHWAY 138 NORTH",CONYERS,GA,30013,33.671664,-83.982489,1,range_interpolation,1927,"State Rte 138",,,Conyers,GA,"Rockdale County",30013,US,"TIGER/Line® dataset from the US Census Bureau"
"745 PINE STREET",MACON,GA,31210,32.83441,-83.634242,0.9,rooftop,745,"Pine St",,,Macon,GA,"Bibb County",31201,US,Bibb
"15 JOHN MADDOX DRIVE",ROME,GA,30165,34.275559,-85.192673,1,rooftop,15,"John Maddox Dr",,,Rome,GA,"Floyd County",30165,US,Floyd
"2540 FLAT SHOALS ROAD",ATLANTA,GA,30349,33.588568,-84.472496,1,rooftop,2540,"Flat Shoals Rd",,,Atlanta,GA,"Fulton County",30349,US,"Fulton County"
"418 DECATUR ST SE, STE B",ATLANTA,GA,30312,33.750588,-84.375586,1,rooftop,418,"Decatur St SE",Ste,B,Atlanta,GA,"Fulton County",30312,US,"City of Atlanta"
"1314 RADIUM SPRINGS RD",ALBANY,GA,31705,31.555902,-84.137407,1,rooftop,1314,"Radium Springs Rd",,,Albany,GA,"Dougherty County",31705,US,Dougherty
"2443 BROOKSTONE CENTER PARKWAY",COLUMBUS,GA,31904,32.531098,-84.987563,0.2,street_center,,"Brookstone Blvd",,,Columbus,GA,"Muscogee County",31904,US,"TIGER/Line® dataset from the US Census Bureau"
"614 PATTERSON ROAD","LA FAYETTE",GA,30728,34.697921,-85.266221,1,range_interpolation,614,"Patterson Rd",,,"La Fayette",GA,"Walker County",30728,US,"TIGER/Line® dataset from the US Census Bureau"
"7301 STONECREST CONCOURSE",LITHONIA,GA,30038,33.695336,-84.093062,1,rooftop,7301,"Stonecrest Concourse",,,Lithonia,GA,"DeKalb County",30038,US,Dekalb
"857 CURTIS PKWY SE",CALHOUN,GA,30701,34.485435,-84.92103,0.4,rooftop,857,Curtis,,,Calhoun,GA,"Gordon County",30701,US,"Gordon County"
"4358 KINGS WAY",VALDOSTA,GA,31602,30.89961,-83.330344,1,rooftop,4358,"Kings Way",,,Valdosta,GA,"Lowndes County",31602,US,Lowndes
"2026 S MILLEDGE AVE, STREET A2",ATHENS,GA,30605,33.923785,-83.380627,1,rooftop,2026,"S Milledge Ave",,,Athens,GA,"Clarke County",30605,US,Clarke
"1631 GORDON HWY",AUGUSTA,GA,30906,33.440902,-82.01527,1,rooftop,1631,"Gordon Hwy",,,Augusta,GA,"Richmond County",30906,US,Richmond
"1837 WEST MCINTOSH ROAD",GRIFFIN,GA,30223,33.273543,-84.303347,1,range_interpolation,1837,"W McIntosh Rd",,,Griffin,GA,"Spalding County",30223,US,"TIGER/Line® dataset from the US Census Bureau"
"4845 LAVISTA ROAD",TUCKER,GA,30084,33.854187,-84.222694,1,rooftop,4845,"Lavista Rd",,,Tucker,GA,"DeKalb County",30084,US,Dekalb
"700 GORDON AVENUE",BAINBRIDGE,GA,39819,30.900203,-84.550973,1,range_interpolation,700,"Gordon Ave",,,Bainbridge,GA,"Decatur County",39819,US,"TIGER/Line® dataset from the US Census Bureau"
"701 NORTH HUTCHINSON AVE",ADEL,GA,31620,31.144043,-83.426066,1,rooftop,701,"N Hutchinson Ave",,,Adel,GA,"Cook County",31620,US,Cook
"2853 CANDLER ROAD, SUITE 203",DECATUR,GA,30034,33.709869,-84.271977,1,range_interpolation,2853,"Candler Rd",Ste,203,Decatur,GA,"DeKalb County",30034,US,"TIGER/Line® dataset from the US Census Bureau"
"300 W JACKSON STREET",THOMASVILLE,GA,31792,30.835872,-83.983113,0.76,nearest_rooftop_match,328,"W Jackson St",,,Thomasville,GA,"Thomas County",31792,US,Thomas
"4130 WHITEHOUSE PKWY","WARM SPRINGS",GA,31830,32.893913,-84.681373,0.9,range_interpolation,4130,"White House Pkwy",,,"Warm Springs",GA,"Meriwether County",31830,US,"TIGER/Line® dataset from the US Census Bureau"
"1277 KENNESTONE CIRCLE",MARIETTA,GA,30066,33.981276,-84.554484,1,range_interpolation,1277,"Kennestone Cir",,,Marietta,GA,"Cobb County",30066,US,"TIGER/Line® dataset from the US Census Bureau"
"2377 HWY 196 WEST",HINESVILLE,GA,31313,31.816684,-81.650002,1,rooftop,2377,"W Highway 196",,,Hinesville,GA,"Liberty County",31313,US,Liberty
"7840 ROSWELL RD BLDG 200 STE 210",ATLANTA,GA,30350,33.970189,-84.360296,1,rooftop,7840,"Roswell Rd",Ste,200,Atlanta,GA,"Fulton County",30350,US,"City of Sandy Springs"
"2545 FLINTRIDGE ROAD",GAINESVILLE,GA,30501,34.327315,-83.807352,1,rooftop,2545,"Flintridge Rd",,,Gainesville,GA,"Hall County",30501,US,Hall
"509 NORTH HOUSTON RD","WARNER ROBINS",GA,31093,32.623836,-83.642795,1,rooftop,509,"N Houston Rd",,,"Warner Robins",GA,"Houston County",31093,US,Houston
"1000 COWLES CLINIC WAY, SUITE S-100",GREENSBORO,GA,30642,33.560655,-83.193389,0.33,place,,,,,Greensboro,GA,"Greene County",30642,US,"TIGER/Line® dataset from the US Census Bureau"
"817 PEACHTREE STREET",LOUISVILLE,GA,30434,33.005517,-82.406504,1,range_interpolation,817,"Peachtree St",,,Louisville,GA,"Jefferson County",30434,US,"TIGER/Line® dataset from the US Census Bureau"
"172 THREE RIVERS DRIVE NE",ROME,GA,30161,34.28977,-85.146631,1,rooftop,172,"Three Rivers Dr",,,Rome,GA,"Floyd County",30161,US,Floyd
"806 FORREST DRIVE",DAWSON,GA,39842,31.760949,-84.437475,0.3,place,,,,,Dawson,GA,"Terrell County",39842,US,"TIGER/Line® dataset from the US Census Bureau"
"2841 GREENBRIAR PKWY SW",ATLANTA,GA,30331,33.68658,-84.498039,1,rooftop,2841,"Greenbriar Pkwy SW",,,Atlanta,GA,"Fulton County",30331,US,"Fulton County"
"1886 STALLION PARKWAY",AUSTELL,GA,30106,33.839206,-84.60941,1,rooftop,1886,"Stallion Pkwy",,,Austell,GA,"Cobb County",30106,US,Cobb
"1851 MANCHESTER EXPRESSWAY",COLUMBUS,GA,31904,32.507449,-84.964692,1,rooftop,1851,"Manchester Expy",,,Columbus,GA,"Muscogee County",31904,US,"Muscogee County"
"1717 WALTON WAY",AUGUSTA,GA,30904,33.475852,-81.99559,1,rooftop,1717,"Walton Way",,,Augusta,GA,"Richmond County",30904,US,Richmond
"227 N LEE STREET",AMERICUS,GA,31709,32.074923,-84.23235,1,rooftop,227,"N Lee St",,,Americus,GA,"Sumter County",31709,US,"Sumter County"
"929 FALLS ROAD",TOCCOA,GA,30577,34.590122,-83.342112,0.9,range_interpolation,929,"Falls Rd",,,Toccoa,GA,"Stephens County",30577,US,"TIGER/Line® dataset from the US Census Bureau"
"2047 PRINCE AVENUE",ATHENS,GA,30606,33.969281,-83.409561,1,rooftop,2047,"Prince Ave",,,Athens,GA,"Clarke County",30606,US,Clarke
"540 E OGLETHORPE AVE",SAVANNAH,GA,31401,32.075438,-81.085898,1,rooftop,540,"E Oglethorpe Ave",,,Savannah,GA,"Chatham County",31401,US,"City of Savannah"
"11415 BROWN BRIDGE ROAD",COVINGTON,GA,30016,33.583559,-83.91474,1,rooftop,11415,"Brown Bridge Rd",,,Covington,GA,"Newton County",30016,US,Newton
"D/B/A PERRY DIALYSIS CENTER",PERRY,GA,31069,32.43194,-83.722649,1,place,,,,,Perry,GA,"Houston County",31069,US,"TIGER/Line® dataset from the US Census Bureau"
"1575 NORTHSIDE DR, NW",ATLANTA,GA,30318,33.798509,-84.407009,1,rooftop,1575,"Northside Dr NW",,,Atlanta,GA,"Fulton County",30318,US,"Fulton County"
"1002 BOULDER DRIVE",GRAY,GA,31032,33.00196,-83.546568,1,rooftop,1002,"Boulder Dr",,,Gray,GA,"Jones County",31032,US,Jones
"595 HURRICANE SHOALS RD NW",LAWRENCEVILLE,GA,30046,33.965125,-84.008298,0.9,range_interpolation,595,"Hurricane Shoals Rd NW",,,Lawrenceville,GA,"Gwinnett County",30046,US,"TIGER/Line® dataset from the US Census Bureau"
"401 NORTHSIDE DRIVE",VALDOSTA,GA,31602,30.871699,-83.281319,1,range_interpolation,401,"Northside Dr",,,Valdosta,GA,"Lowndes County",31602,US,"TIGER/Line® dataset from the US Census Bureau"
"1392 BELLS FERRY ROAD",MARIETTA,GA,30066,33.984751,-84.553587,1,rooftop,1392,"Bells Ferry Rd",,,Marietta,GA,"Cobb County",30066,US,"City of Marietta"
"2538 MARTIN LUTHER KING JR DRIVE SW",ATLANTA,GA,30311,33.752928,-84.470982,1,rooftop,2538,"Martin Luther King Jr Dr SW",,,Atlanta,GA,"Fulton County",30311,US,"City of Atlanta"
"102 PINEVIEW DRIVE",SYLVESTER,GA,31791,31.603336,-83.850054,0.33,place,,,,,Sylvester,GA,"Worth County",31791,US,"TIGER/Line® dataset from the US Census Bureau"
"506 NORTH PATTERSON STREET",VALDOSTA,GA,31601,30.835888,-83.282003,1,rooftop,506,"N Patterson St",,,Valdosta,GA,"Lowndes County",31601,US,Lowndes
"1016 CLAXTON DAIRY ROAD STE 1A",DUBLIN,GA,31021,32.548027,-82.925161,1,rooftop,1016,"Claxton Dairy Rd",Ste,1A,Dublin,GA,"Laurens County",31021,US,Laurens
"1987 CANDLER RD SUITE C",DECATUR,GA,30032,33.732539,-84.285142,1,rooftop,1987,"Candler Rd",Ste,C,Decatur,GA,"DeKalb County",30032,US,Dekalb
"1550 BUFORD HWY STE 1E",BUFORD,GA,30518,34.097487,-84.013816,1,rooftop,1550,"Buford Hwy",Ste,1E,Buford,GA,"Gwinnett County",30518,US,Gwinnett
"1013 EAST 16TH AVE",CORDELE,GA,31015,31.963508,-83.765544,0.9,range_interpolation,1013,"16th Ave E",,,Cordele,GA,"Crisp County",31015,US,"TIGER/Line® dataset from the US Census Bureau"
"592 RIDGE WAY RD STE A.",COMMERCE,GA,30529,34.216538,-83.470228,1,rooftop,592,"Ridgeway Rd",Ste,A,Commerce,GA,"Jackson County",30529,US,Jackson
"1115 HERRINGTON ROAD",LAWRENCEVILLE,GA,30044,33.947337,-84.083154,1,rooftop,1115,"Herrington Rd",,,Lawrenceville,GA,"Gwinnett County",30044,US,Gwinnett
"6540 TARA BLVD",JONESBORO,GA,30236,33.576122,-84.371376,1,rooftop,6540,"Tara Blvd",,,Jonesboro,GA,"Clayton County",30236,US,"Clayton County"
"2680 HWY 34 EAST, SUITE B",NEWNAN,GA,30265,33.407825,-84.695038,1,rooftop,2680,"E Highway 34",Ste,B,Newnan,GA,"Coweta County",30265,US,Coweta
"130 PARKWOOD CIRCLE",CARROLLTON,GA,30117,33.616553,-85.086408,1,range_interpolation,130,"Parkwood Cir",,,Carrollton,GA,"Carroll County",30117,US,"TIGER/Line® dataset from the US Census Bureau"
"4110 AUSTELL POWDER SPRINGS RD","POWDER SPRINGS",GA,30127,33.853334,-84.67001,1,rooftop,4110,"Austell Powder Springs Rd",,,"Powder Springs",GA,"Cobb County",30127,US,Cobb
"5329 MEMORIAL DRIVE","STONE MOUNTAIN",GA,30083,33.798576,-84.219714,1,rooftop,5329,"Memorial Dr",,,"Stone Mountain",GA,"DeKalb County",30083,US,Dekalb
"640 NORTH AVENUE",MACON,GA,31211,32.8513,-83.626812,1,rooftop,640,"North Ave",,,Macon,GA,"Bibb County",31211,US,Bibb
"3602 MARATHON CIRCLE",AUSTELL,GA,30106,33.866093,-84.627922,1,rooftop,3602,"Marathon Cir",,,Austell,GA,"Cobb County",30106,US,Cobb
"4455 STONE MOUNTAIN HWY",LILBURN,GA,30047,33.834978,-84.079389,0.6,street_center,,"State Rte 10",,,Lilburn,GA,"Gwinnett County",30047,US,"TIGER/Line® dataset from the US Census Bureau"
"1950 HONEY CREEK COMMONS SE",CONYERS,GA,30094,33.592126,-84.012977,0.6,street_center,,"Honey Creek Cmns SE",,,Conyers,GA,"Rockdale County",30094,US,"TIGER/Line® dataset from the US Census Bureau"
"120 NORTH LEE STREET",FORSYTH,GA,31029,33.038176,-83.93826,0.9,range_interpolation,120,"N Lee St",,,Forsyth,GA,"Monroe County",31029,US,"TIGER/Line® dataset from the US Census Bureau"
"401 TOWN PARK BLVD",EVANS,GA,30809,33.529068,-82.132313,1,rooftop,401,"Town Park Blvd",,,Evans,GA,"Columbia County",30809,US,Columbia
"251 HIGHWAY 19 N",CAMILLA,GA,31730,31.123554,-84.140787,0.8,rooftop,251,"Hwy 19 SE",,,Pelham,GA,"Mitchell County",31779,US,Mitchell
"50 KELLY ROAD",MCDONOUGH,GA,30253,33.457273,-84.179477,1,rooftop,50,"Kelly Rd",,,McDonough,GA,"Henry County",30253,US,Henry
"711 TALBOTTEN ROAD",COLUMBUS,GA,31904,32.482917,-84.983362,1,rooftop,711,"Talbotton Rd",,,Columbus,GA,"Muscogee County",31904,US,"Muscogee County"
"3015 THE COMMONS DRIVE",CUMMING,GA,30041,34.114293,-84.155429,1,rooftop,3015,"The Commons Dr",,,Cumming,GA,"Forsyth County",30041,US,Forsyth
"1485 JESSE JEWELL PARKWAY, NE",GAINESVILLE,GA,30501,34.307767,-83.807262,1,rooftop,1485,"Jesse Jewell Pkwy",,,Gainesville,GA,"Hall County",30501,US,Hall
"5694A OGEECHEE ROAD",SAVANNAH,GA,31405,32.029898,-81.223126,0.9,rooftop,5694,"Ogeechee Rd",,,Savannah,GA,"Chatham County",31405,US,"City of Savannah"
"3530 ROWE LANE",CUMMING,GA,30041,34.259194,-84.06967,1,rooftop,3530,"Rowe Ln",,,Cumming,GA,"Forsyth County",30041,US,Forsyth
"1182 5TH ST. SE",CAIRO,GA,39828,30.862915,-84.200146,1,range_interpolation,1182,"5th St SE",,,Cairo,GA,"Grady County",39828,US,"TIGER/Line® dataset from the US Census Bureau"
"270 VILLAGE CENTER PKWY",STOCKBRIDGE,GA,30281,33.507738,-84.222642,1,rooftop,270,"Village Center Pkwy",,,Stockbridge,GA,"Henry County",30281,US,Henry
"244 CORDELE RD",ALBANY,GA,31705,31.576961,-84.0888,1,rooftop,244,"Cordele Rd",,,Albany,GA,"Dougherty County",31705,US,Dougherty
"2060 LOWER ROSWELL RD",MARIETTA,GA,30068,33.948324,-84.492515,1,rooftop,2060,"Lower Roswell Rd",,,Marietta,GA,"Cobb County",30068,US,Cobb
"8032 ROCKBRIDGE ROAD",LITHONIA,GA,30058,33.77503,-84.074763,1,range_interpolation,8032,"Rockbridge Rd",,,Lithonia,GA,"DeKalb County",30058,US,"TIGER/Line® dataset from the US Census Bureau"
"1241 FRIENDSHIP RD",BRASELTON,GA,30517,34.121766,-83.83028,1,rooftop,1241,"Friendship Rd",,,Braselton,GA,"Hall County",30517,US,Hall
"3201 ATLANTA INDUSTRIAL PARKWAY NORTHWEST",ATLANTA,GA,30331,33.791816,-84.495033,1,rooftop,3201,"Atlanta Industrial Pkwy NW",,,Atlanta,GA,"Fulton County",30331,US,"Fulton County"
"501 WALNUT WAY",PALMETTO,GA,30268,33.535538,-84.659815,1,range_interpolation,501,"Walnut Way",,,Palmetto,GA,"Fulton County",30268,US,"TIGER/Line® dataset from the US Census Bureau"
"3170 PEACHTREE INDUSTRIAL BLVD, STE 100",DULUTH,GA,30097,34.020463,-84.158313,1,rooftop,3170,"Peachtree Industrial Blvd",Ste,100,Duluth,GA,"Gwinnett County",30097,US,Gwinnett
"655 EXCHANGE CIRCLE",BETHLEHEM,GA,30620,33.943652,-83.721536,0.33,place,,,,,Bethlehem,GA,"Barrow County",30620,US,"TIGER/Line® dataset from the US Census Bureau"
"1475 JESSE JEWELL PKWY NE",GAINESVILLE,GA,30501,34.307669,-83.80834,1,rooftop,1475,"Jesse Jewell Pkwy",,,Gainesville,GA,"Hall County",30501,US,Hall
"2460 WESLEY CHAPEL RD, STE 25D",DECATUR,GA,30035,33.71558,-84.212121,1,rooftop,2460,"Wesley Chapel Rd",Ste,25D,Decatur,GA,"DeKalb County",30035,US,Dekalb
"207 INDUSTRIAL BLVD",DUBLIN,GA,31021,32.532846,-82.947984,1,rooftop,207,"Industrial Blvd",,,Dublin,GA,"Laurens County",31021,US,Laurens
"6160 PEACHTREE DUNWOODY ROAD",ATLANTA,GA,30328,33.922937,-84.352134,1,rooftop,6160,"Peachtree Dunwoody Rd",,,Atlanta,GA,"Fulton County",30328,US,"City of Sandy Springs"
"101 E. DAVIS ST",QUITMAN,GA,31643,30.794682,-83.559626,0.72,nearest_rooftop_match,100,"E Davis St",,,Quitman,GA,"Brooks County",31643,US,Brooks
"5990 WARM SPRINGS ROAD",COLUMBUS,GA,31909,32.546983,-84.88923,1,rooftop,5990,"Warm Springs Rd",,,Columbus,GA,"Muscogee County",31909,US,"Muscogee County"
"65 FRANCIS WAY",SHARPSBURG,GA,30277,33.402938,-84.660796,1,rooftop,65,"Francis Way",,,Sharpsburg,GA,"Coweta County",30277,US,Coweta
"240 PONCE DE LEON AVE NE",ATLANTA,GA,30308,33.772978,-84.379356,1,rooftop,240,"Ponce De Leon Ave NE",,,Atlanta,GA,"Fulton County",30308,US,"City of Atlanta"
"2301 NEWNAN CROSSING BOULEVARD EAST",NEWNAN,GA,30265,33.360992,-84.750372,1,rooftop,2301,"Newnan Crossing Blvd E",,,Newnan,GA,"Coweta County",30265,US,Coweta
"201 OLD ALBANY RD",THOMASVILLE,GA,31792,30.850018,-83.995768,1,rooftop,201,"Old Albany Rd",,,Thomasville,GA,"Thomas County",31792,US,Thomas
"8455 MALL PKWY",LITHONIA,GA,30038,33.695257,-84.082222,1,rooftop,8455,"Mall Pkwy",,,Lithonia,GA,"DeKalb County",30038,US,Dekalb
"2470 WRIGHTSBORO RD",AUGUSTA,GA,30904,33.468327,-82.02755,1,rooftop,2470,"Wrightsboro Rd",,,Augusta,GA,"Richmond County",30904,US,Richmond
"105 VILLAGE CIRCLE",SENOIA,GA,30276,33.293935,-84.573817,1,rooftop,105,"Village Cir",,,Senoia,GA,"Coweta County",30276,US,Coweta
"109 PARKER DRIVE",LAGRANGE,GA,30240,33.028259,-85.069521,1,rooftop,109,"Parker Dr",,,Lagrange,GA,"Troup County",30240,US,Troup
"5360 SNAPFINGER WOODS DR",STONECREST,GA,30038,33.670006,-84.196696,0.6,street_center,,"Snapfinger Rd",,,Lithonia,GA,"DeKalb County",30038,US,"TIGER/Line® dataset from the US Census Bureau"
"4570B MEMORIAL DRIVE",DECATUR,GA,30032,33.780496,-84.240869,0.9,rooftop,4570,"Memorial Dr",,,Decatur,GA,"DeKalb County",30032,US,Dekalb
"2165 NORTH DECATUR ROAD",DECATUR,GA,30033,33.790437,-84.302565,1,range_interpolation,2165,"N Decatur Rd",,,Decatur,GA,"DeKalb County",30033,US,"TIGER/Line® dataset from the US Census Bureau"
"3441 FENCE ROAD",DACULA,GA,30019,34.029959,-83.885843,1,rooftop,3441,"Fence Rd",,,Dacula,GA,"Gwinnett County",30019,US,Gwinnett
